,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
40,6,False,ol,1497,-0.01920888289740691,0.45768743096372816,2.418275087483936,0.9752839011356046,1.7175438616606375,1.045162558555603,1.6682730913162231
41,6,False,nl,1317,0.022374393024731327,0.4171886204487017,1.6398096737346222,0.4677296886864085,1.285358974398572,0.3197680413722992,1.0366096496582031
42,6,False,ul,2097,0.2351709312427837,9.643530986112302e-28,0.7650402277251455,0.25560324272770624,0.6677375740232788,0.08579019457101822,0.5247766971588135
43,6,False,all,4911,0.09994531861847403,2.2215455851018183e-12,1.6594180234027298,0.5318672368153126,1.2752649560352989,0.44097840785980225,1.1929856538772583
44,6,True,ol,130,0.9972510021412457,1.5258613997382295e-146,0.26977010245501964,2.9846153846153847,1.7408424812080785,2.7760438919067383,1.6236519813537598
45,6,True,nl,59,0.9983249720983468,2.995117560122719e-72,0.18680703813090105,1.0847457627118644,1.7782884133700347,1.0010148286819458,1.6437766551971436
46,6,True,ul,103,0.9825058304462027,1.5193647345378556e-75,0.8000036387885685,0.6407766990291263,0.9332516381124597,1.0620921850204468,1.574414610862732
47,6,True,all,292,0.9616807234234628,5.174051223528144e-165,0.5149823212724267,1.773972602739726,1.8699884548219001,1.8128118515014648,1.8272960186004639
48,7,False,ol,1497,-0.006387248093865065,0.8049657732402338,2.2297670039668605,0.9752839011356046,1.7175438616606375,0.617194414138794,1.3651822805404663
49,7,False,nl,1317,0.19289805309775215,1.66351234601929e-12,1.4677084329418346,0.4677296886864085,1.285358974398572,0.28978028893470764,0.9772101640701294
50,7,False,ul,2038,0.1001377487515584,5.919213819734911e-06,0.8231018436468769,0.26300294406280667,0.6758959531909549,0.0766172707080841,0.5041487812995911
51,7,False,all,4852,0.11296239465318926,2.9789334254503672e-15,1.5502475158030928,0.5383347073371806,1.2816375281620862,0.30126267671585083,0.9964985251426697
52,7,True,ol,90,0.9872877658319161,4.396757662054254e-72,0.4256983309115766,2.7111111111111112,1.8693102973167193,2.440788745880127,1.7045923471450806
53,7,True,nl,64,0.9919222903311513,2.5750408195686294e-57,0.3410936113698727,2.125,1.996089927833914,1.9437658786773682,1.8407188653945923
54,7,True,ul,72,0.9936287705546885,4.129544436389683e-68,0.5570480347376848,0.5,0.8660254037844386,0.7681096792221069,1.3389357328414917
