time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
697.0,1.1333333333333333,0.154,0.3609487498246808,228.3,199.4634720109591,198.5544931972789,630.6399142317387
698.0,1.0666666666666667,0.15166666666666667,0.35869748938191487,227.2,199.96606378750042,195.92104572940286,631.0337154599691
699.0,1.0,0.14633333333333334,0.3534400782153728,204.5,169.93915577837458,188.68269841269841,615.3353212269581
700.0,0.9333333333333333,0.12933333333333333,0.3355685060046938,188.56666666666666,153.95468669564934,167.74294557823129,580.5760576346
701.0,0.8,0.117,0.3214202856074893,176.9,145.19810604825395,160.1036262282691,574.4734911630125
702.0,0.7,0.11433333333333333,0.3182156850663119,176.9,145.19810604825395,159.399149281935,574.4474932520352
703.0,0.7,0.114,0.317811264746862,176.9,145.19810604825395,159.74259448223734,574.3869060318312
704.0,0.7,0.114,0.317811264746862,176.9,145.19810604825395,160.31031519274376,574.3333153427932
705.0,0.7,0.114,0.317811264746862,176.9,145.19810604825395,160.5017970521542,574.3000718051649
706.0,0.8333333333333334,0.12833333333333333,0.3344605939253366,201.13333333333333,188.02956032378404,177.54786205593348,600.4386444321794
707.0,0.9333333333333333,0.15033333333333335,0.35739784865360097,203.43333333333334,187.44415761026596,191.94330196523055,613.2401311633115
708.0,1.0,0.16466666666666666,0.37087943533654655,212.13333333333333,189.4164254287949,206.70554724111867,628.3894157022241
709.0,1.1333333333333333,0.189,0.39150862059474495,225.76666666666668,196.86690653558028,223.44917876039304,642.6772485313483
710.0,1.1666666666666667,0.20066666666666666,0.40049913302722084,227.63333333333333,196.11926360140038,232.24315457294028,648.2607600186618
711.0,1.2666666666666666,0.22133333333333333,0.4151444193156026,241.16666666666666,202.14072380948434,251.73739342403627,667.2947053018748
712.0,1.3,0.23766666666666666,0.42565387608034555,257.8666666666667,211.9002490691211,264.64337490551776,676.1258461931097
713.0,1.4333333333333333,0.2663333333333333,0.44204059642626586,280.46666666666664,231.26215043154428,300.31620937263796,726.4015516315276
714.0,1.5,0.2783333333333333,0.44817841189518365,301.1,243.32397470587782,308.37032955404385,728.7110120268138
715.0,1.5,0.278,0.44801339265696066,301.1,243.32397470587782,308.4974111866969,728.6674095244337
716.0,1.5666666666666667,0.303,0.4595552197505758,299.6,244.57127113924616,347.415582388511,871.2691976827668
717.0,1.5333333333333334,0.30866666666666664,0.4619432384563666,295.6333333333333,248.38726260060562,352.99928458049885,871.9619321974391
718.0,1.5333333333333334,0.30666666666666664,0.4611097724210822,292.46666666666664,251.19590407134874,349.17003665910806,865.7265534308375
