participant, condition, time, judgement
p3, nl, 143.56, 
p3, nl, 147.5, 
p3, nl, 179.52, 
p3, nl, 266.06, 
p3, nl, 281.13, 
p3, nl, 329.09, 
p3, nl, 332.91, 
p3, nl, 333.14, 
p3, nl, 348.29, 
p3, nl, 349.52, 
p3, nl, 356.06, 
p3, nl, 389.8, 
p3, nl, 429.62, 
p3, nl, 432.12, 
p3, nl, 444.59, 
p3, nl, 510.56, 
p3, nl, 520.99, 
p3, nl, 550.79, 
p3, nl, 564.91, 
p3, nl, 593.04, 
p3, nl, 632.4, 
p3, nl, 641.69, 
p3, nl, 652.2, 
p3, nl, 652.25, 
p3, nl, 655.72, 
p3, nl, 690.42, 
p3, nl, 694.04, 
p3, nl, 760.02, 
p3, nl, 775.03, 
p3, nl, 785.59, 
p3, nl, 794.16, 
p3, nl, 814.83, 
p3, nl, 816.63, 
p3, nl, 827.42, 
p3, nl, 830.07, 
p3, nl, 856.68, 
p3, nl, 874.86, 
p3, nl, 878.53, 
p3, nl, 901.39, 
p3, nl, 938.41, 
p3, nl, 942.44, 
p3, nl, 957.33, 
p3, nl, 963.4, 
p3, nl, 967.44, 
p3, nl, 986.58, 
p3, nl, 1007.27, 
p3, nl, 1094.97, 
p3, ol, 91.09, 
p3, ol, 117.23, 
p3, ol, 266.06, 
p3, ol, 281.13, 
p3, ol, 349.52, 
p3, ol, 356.06, 
p3, ol, 389.8, 
p3, ol, 429.62, 
p3, ol, 432.12, 
p3, ol, 444.61, 
p3, ol, 520.95, 
p3, ol, 550.79, 
p3, ol, 554.54, 
p3, ol, 564.91, 
p3, ol, 593.03, 
p3, ol, 652.2, 
p3, ol, 652.25, 
p3, ol, 655.72, 
p3, ol, 690.41, 
p3, ol, 760.02, 
p3, ol, 760.39, 
p3, ol, 785.59, 
p3, ol, 794.16, 
p3, ol, 814.83, 
p3, ol, 816.63, 
p3, ol, 827.42, 
p3, ol, 830.07, 
p3, ol, 856.68, 
p3, ol, 874.86, 
p3, ol, 878.52, 
p3, ol, 890.34, 
p3, ol, 901.39, 
p3, ol, 957.27, 
p3, ol, 957.31, 
p3, ol, 963.4, 
p3, ol, 967.43, 
p3, ol, 1007.27, 
